,Level,Area,names,Total,Bosniak,Serb,Croat,Bosnian,Romani,Muslim,Bosnian and Herzegovinian,Albanian,Yugoslav,Ukrainian,Montenegrin,Turk,Slovenian,Orthodox,Macedonian,Others,Undeclared,Unknown
87,3,NEUM,Neum,4653,63,21,4543,1,NA,NA,1,3,2,NA,2,NA,NA,NA,NA,3,7,7
88,3,NEVESINJE,Nevesinje,12961,533,12353,28,NA,NA,5,NA,NA,2,NA,3,NA,1,NA,NA,10,19,7
89,3,NOVI GRAD,Novi Grad,27115,6439,20116,181,42,41,37,5,1,10,2,10,NA,8,9,3,39,147,25
90,3,NOVI GRAD SARAJEVO,Novi Grad Sarajevo,118553,99773,4367,4947,3553,481,337,1490,171,103,12,95,91,32,16,43,750,2103,189
91,3,NOVI TRAVNIK,Novi Travnik,23832,12067,367,11002,94,43,53,14,7,6,NA,9,3,5,2,3,31,104,22
92,3,NOVO GORA<U+008E>DE,Novo Goražde,3117,1459,1618,2,2,NA,17,NA,2,NA,NA,1,NA,2,NA,NA,1,6,7
93,3,NOVO SARAJEVO,Novo Sarajevo,64814,48188,3402,4639,3164,275,265,1699,151,105,7,120,68,47,10,39,705,1893,37
94,3,O<U+008A>TRA LUKA,Oštra Luka,2786,23,2580,160,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,3,12,3
95,3,OD<U+008E>AK,Odžak,18821,6220,582,11621,98,8,28,9,48,NA,NA,1,NA,1,NA,NA,35,102,68
96,3,OLOVO,Olovo,10175,9701,77,230,74,NA,40,6,2,2,NA,NA,NA,NA,NA,NA,15,20,8
97,3,ORA<U+008A>JE,Orašje,19861,2015,157,17345,56,2,37,19,28,4,5,2,1,NA,2,3,59,100,26
98,3,OSMACI,Osmaci,6016,2895,3095,9,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,4
99,3,PALE - FBiH,Pale,904,859,33,1,8,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
100,3,PALE - RS,Pale-Praca,20909,186,20451,128,2,NA,2,NA,1,14,2,20,NA,5,NA,4,25,55,14
101,3,PELAGI?EVO,Pelagicevo,5220,13,3330,1850,1,3,1,NA,NA,1,NA,1,NA,2,NA,NA,3,7,8
102,3,PETROVAC,Petrovac,361,NA,358,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
103,3,PETROVO,Petrovo,6474,7,6371,36,2,2,2,NA,NA,4,NA,1,1,NA,NA,1,20,23,4
104,3,POSU<U+008A>JE,Posušje,20477,2,5,20424,NA,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,2,4,30
105,3,PRIJEDOR,Prijedor,89397,29034,55895,1762,107,239,192,11,16,123,356,37,NA,69,129,14,278,746,389
106,3,PRNJAVOR,Prnjavor,35956,2979,30673,451,25,40,80,1,NA,41,858,20,NA,25,12,94,385,239,33
107,3,PROZOR,Prozor-Rama,14280,3525,3,10702,2,NA,11,1,NA,2,NA,NA,NA,NA,NA,NA,4,7,23
108,3,RAVNO,Ravno,3219,20,558,2633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
109,3,RIBNIK,Ribnik,6048,NA,6018,11,2,1,1,NA,NA,NA,1,NA,NA,4,NA,NA,5,3,2
110,3,ROGATICA,Rogatica,10723,1117,9527,19,5,NA,18,NA,3,3,1,4,NA,NA,NA,1,8,12,5
111,3,RUDO,Rudo,7963,677,7241,9,3,NA,16,NA,NA,NA,NA,5,NA,NA,NA,NA,3,6,3
112,3,SANSKI MOST,Sanski Most,41475,38344,1837,722,202,16,43,25,18,4,NA,1,1,6,10,NA,49,127,70
113,3,SAPNA,Sapna,11178,10827,234,3,12,39,32,NA,1,NA,NA,NA,NA,NA,NA,NA,9,10,11
114,3,SOKOLAC,Sokolac,12021,671,11250,29,2,NA,7,3,NA,5,1,6,NA,2,NA,1,11,14,19
115,3,SRBAC,Srbac,17587,417,16630,131,5,15,9,NA,NA,11,133,10,NA,10,NA,2,92,92,30
116,3,SREBRENICA,Srebrenica,13409,7248,6028,16,19,4,18,3,2,4,NA,2,NA,NA,4,NA,11,23,27
